temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
2.0,-1.2,-3.4,67.48,0.0,0,29.5,11.6,89,1022.4,8.8,16.0,0,0.0
1.1,-2.8,-3.4,72.24,0.0,0,27.7,13.4,67,1022.6,100.0,15.9,0,0.0
0.0,-4.3,-3.8,75.27,0.0,0,18.4,14.5,47,1022.2,100.0,15.9,0,0.0
-0.6,-5.3,-4.3,75.71,0.0,0,27.7,16.1,40,1021.2,100.0,16.0,0,0.0
-0.6,-4.4,-4.3,76.03,0.0,0,31.3,11.6,31,1020.4,100.0,16.0,0,0.0
-1.0,-5.5,-3.3,84.27,0.0,0,33.5,14.6,42,1018.9,100.0,2.2,0,0.0
-1.1,-6.1,-2.8,88.21,0.267,100,37.1,17.0,49,1016.7,100.0,2.0,0,0.0
-1.1,-6.3,-2.8,88.31,0.591,100,31.7,18.4,50,1015.3,100.0,2.0,0,0.0
-1.1,-6.1,-2.8,88.21,0.593,100,37.1,17.1,50,1014.6,100.0,1.1,0,0.0
-1.1,-6.0,-2.8,88.57,1.036,100,35.3,16.0,40,1013.9,100.0,1.1,0,0.0
-1.2,-6.8,-3.3,85.54,0.615,100,35.3,20.9,40,1013.1,100.0,2.0,3,0.0
-1.2,-6.2,-2.8,88.67,0.611,100,35.3,17.3,40,1012.2,100.0,1.0,25,0.1
-1.1,-6.1,-2.8,88.31,0.368,100,33.5,17.1,39,1011.8,100.0,1.0,79,0.3
-0.6,-5.3,-2.8,85.36,0.27,100,31.3,15.6,30,1011.4,100.0,1.0,131,0.5
0.6,-4.4,-2.2,81.62,0.232,100,31.3,19.5,19,1011.2,100.0,2.4,309,1.1
0.7,-4.6,-2.2,81.16,0.137,100,20.5,22.0,19,1011.3,100.0,2.3,402,1.4
1.7,-2.8,-1.8,77.71,0.184,100,38.5,17.9,2,1011.4,100.0,5.6,321,1.2
1.7,-2.9,-2.1,75.7,0.0,0,35.3,18.9,351,1011.7,100.0,5.6,275,1.0
1.8,-2.6,-2.3,74.51,0.0,0,37.1,17.2,1,1012.1,100.0,11.6,273,1.0
1.8,-3.0,-2.8,71.87,0.0,0,38.9,20.3,9,1012.9,100.0,15.8,206,0.7
1.7,-3.3,-2.2,75.09,0.0,0,35.3,21.8,351,1013.7,100.0,15.9,83,0.3
1.2,-3.8,-2.9,74.2,0.0,0,38.9,21.0,343,1014.9,100.0,16.0,18,0.1
0.7,-4.4,-3.2,74.86,0.0,0,35.3,20.9,348,1015.6,100.0,16.0,5,0.0
0.1,-4.9,-3.8,75.31,0.0,0,33.5,18.9,349,1016.4,100.0,15.9,0,0.0
0.0,-4.9,-4.4,72.21,0.0,0,42.5,17.7,350,1017.3,100.0,16.0,0,0.0
-0.6,-6.2,-4.4,74.99,0.0,0,35.6,21.8,341,1017.7,100.0,16.0,0,0.0
-0.6,-5.4,-5.0,72.03,0.0,0,27.7,16.6,343,1017.6,100.0,16.0,0,0.0
-0.6,-4.7,-4.4,75.11,0.0,0,29.5,13.1,5,1017.8,100.0,15.9,0,0.0
-0.6,-6.0,-5.0,71.64,0.0,0,35.3,20.4,357,1017.8,100.0,15.9,0,0.0
-0.6,-4.5,-5.0,71.64,0.0,0,29.5,12.2,350,1017.9,100.0,16.0,0,0.0
-0.6,-5.1,-5.6,68.56,0.0,0,31.7,15.0,342,1018.3,99.6,16.0,0,0.0
-1.1,-5.7,-5.7,71.0,0.0,0,29.5,15.1,332,1018.5,100.0,16.0,0,0.0
-1.1,-6.0,-5.6,71.31,0.0,0,14.8,16.7,332,1018.8,99.6,16.0,0,0.0
-1.1,-5.5,-6.1,68.83,0.0,0,14.8,13.7,349,1018.9,100.0,16.0,0,0.0
-2.0,-5.8,-6.6,70.92,0.0,0,25.9,10.3,331,1019.4,57.2,16.0,8,0.0
-2.0,-5.8,-5.7,75.72,0.0,0,25.9,10.4,315,1020.1,14.0,16.0,58,0.2
-2.0,-6.9,-6.1,73.36,0.0,0,24.1,14.9,349,1020.4,100.0,16.0,165,0.6
-1.0,-5.2,-5.7,70.52,0.0,0,25.9,13.1,359,1020.6,32.4,16.0,450,1.6
0.8,-2.2,-5.6,62.59,0.0,0,24.1,9.4,360,1020.2,6.3,16.0,632,2.3
1.7,-0.3,-5.6,58.43,0.0,0,22.3,6.7,47,1019.6,55.6,16.0,553,2.0
2.4,-0.3,-5.6,55.78,0.0,0,20.5,9.4,57,1019.2,55.6,16.0,805,2.9
3.0,3.0,-6.0,51.66,0.0,0,18.4,1.0,4,1018.3,89.4,16.0,582,2.1
4.2,4.2,-5.6,48.86,0.0,0,16.6,0.8,324,1018.0,89.4,16.0,441,1.6
